FID,peilmerk,x_rd,y_rd,nap_hoogte,pub_tekst,muurvlak,x_muur_cm,y_muur_cm,type,meetdatum,orde,geom
nappeilmerken.815,005G0336,163350.0,576610.0,0.927,HS KIE 7,NO,40.0,17.0,PM,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (163350 576610)
nappeilmerken.816,005G0337,164000.0,576560.0,2.541,BR I/D KIEHOEK,NW,-15.0,-5.0,PM,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (164000 576560)
nappeilmerken.817,005G0338,164300.0,576560.0,0.055,FIETSTUNNEL I/D BRUG J DIJKSTRAWG,ZO,-105.0,35.0,PM,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (164300 576560)
nappeilmerken.818,005G0339,164760.0,576450.0,0.319,PILAAR FIETSBRUG O/D J DIJKSTRAWG,O,10.0,10.0,PM,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (164760 576450)
nappeilmerken.819,005G0340,164400.0,576080.0,0.771,"5,0,,BDR BINNENPAD 2",NO,-90.0,25.0,PM,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (164400 576080)
nappeilmerken.820,005G0341,164060.0,575530.0,0.407,HS BINNENPAD 1,ZO,31.0,28.0,PM,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (164060 575530)
nappeilmerken.821,005G0342,162310.0,575600.0,1.61,HS SOPSUM 1,NW,30.0,25.0,PM,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (162310 575600)
nappeilmerken.822,005G0343,161570.0,575240.0,0.401,KRUIZING LESLUMBUORREN/HERBAIJUMERWEG,,0.0,0.0,SA,Thu Nov 01 00:00:00 CET 2018,2.0,POINT (161570 575240)
nappeilmerken.823,005G0344,166069.0,580270.0,2.738,BRUG FIETSPAD RIEDSTERWEG,N,15.0,10.0,PM,Mon Feb 01 00:00:00 CET 2021,2.0,POINT (166069 580270)
nappeilmerken.824,005H0001,171380.0,575340.0,2.46,HS KLEASTERWEI 4,ZO,-197.0,47.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (171380 575340)
nappeilmerken.825,005H0004,178620.0,575870.0,1.879,HS CRAMSTRA ZATHE: 30,W,603.0,58.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (178620 575870)
nappeilmerken.826,005H0005,178830.0,575170.0,2.528,HK JELLUM: 10,O,100.0,39.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (178830 575170)
nappeilmerken.827,005H0006,171520.0,576890.0,2.065,VM STATION-CF DRONRIJP 13,N,-46.0,55.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (171520 576890)
nappeilmerken.828,005H0007,173680.0,576030.0,1.452,BDR GR. REWERD: 35,NW,-630.0,54.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (173680 576030)
nappeilmerken.829,005H0014,172340.0,578910.0,1.019,HS HEAREWEI 68,NW,-40.0,34.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (172340 578910)
nappeilmerken.830,005H0020,173220.0,579440.0,0.872,HS HARLINGERSTRAATWG 2,N,-56.0,6.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (173220 579440)
nappeilmerken.831,005H0026,178370.0,579540.0,1.272,SCH BDR HOGEDIJK 11,W,340.0,50.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (178370 579540)
nappeilmerken.832,005H0030,176220.0,580190.0,1.516,BDR HARLINGERSTRAATWEG 52,Z,-578.0,98.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (176220 580190)
nappeilmerken.833,005H0033,177760.0,580620.0,2.985,BRANDWEER-GB SCHOOLSTR 17,ZW,647.0,50.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (177760 580620)
nappeilmerken.834,005H0035,177730.0,580510.0,5.377,TOREN HK MARSUM HOOFDSTRAAT 20,W,46.0,66.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (177730 580510)
nappeilmerken.835,005H0038,179340.0,580600.0,1.37,HS POPTAWEI 180,O,44.0,42.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (179340 580600)
nappeilmerken.836,005H0040,170940.0,581390.0,0.623,HS BDR KLOOSTERWG 14,W,-328.0,24.0,PM,Wed Aug 01 00:00:00 CEST 2018,2.0,POINT (170940 581390)
