FID,peilmerk,x_rd,y_rd,nap_hoogte,pub_tekst,muurvlak,x_muur_cm,y_muur_cm,type,meetdatum,orde,geom
nappeilmerken.8858,017H0204,256980.0,531300.0,22.034,FRMR N-Z FIETSPAD ONDER VDC RONDWG,Z,-648.0,-3.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (256980 531300)
nappeilmerken.8859,017H0206,255660.0,527200.0,14.359,"N PILAAR VDC """"DIKKENWIJK"""" OVER NIEUW,AMSTERDAMSESTR",W,55.0,15.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (255660 527200)
nappeilmerken.8860,017H0213,257490.0,535530.0,23.771,"TRAFO NAAST TOYOTA GARAGE OUDE ROS-,WINKELERWG 36-38",W,-32.0,36.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (257490 535530)
nappeilmerken.8861,017H0214,257500.0,537160.0,25.214,TRAFO NAAST HS WEERDINGERSTR 160,O,-76.0,42.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (257500 537160)
nappeilmerken.8862,017H0215,253089.0,536720.0,18.935,BDR ''DE HAAR' KANAALDK Z-Z 9,NO,45.0,60.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (253089 536720)
nappeilmerken.8863,017H0216,251450.0,534340.0,17.553,BDR EMMERSTR 20,N,20.0,27.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (251450 534340)
nappeilmerken.8864,017H0217,253570.0,534260.0,16.358,ZO-STEUNBEER HSM 134,Z,6.0,60.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (253570 534260)
nappeilmerken.8865,017H0219,254980.0,525180.0,14.91,SCH ACHTER BDR ZIJTAK 104,N,16.0,35.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (254980 525180)
nappeilmerken.8866,017H0221,254866.0,537257.0,21.376,"RD STEEN, 1.50 M N UIT VERLENGDE PAD,,2.90 M NO-Z UIT KANT FIETSPAD ODOORNERWG,RD=170331-16",,0.0,0.0,EG,Sun Mar 28 00:00:00 CET 2021,2.0,POINT (254866 537257)
nappeilmerken.8867,017H0222,254640.0,537430.0,19.875,"METERKAST ODOORNERWG VOOR BDR ODOORNERWG,71",NO,9.0,6.0,PM,Sun Mar 28 00:00:00 CET 2021,2.0,POINT (254640 537430)
nappeilmerken.8868,017H0225,250959.0,532020.0,17.609,HEKPL BIJ HS 'T ENG 4,NW,7.0,-7.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (250959 532020)
nappeilmerken.8869,017H0226,259450.0,530070.0,17.893,GML. NO-Z BLADDERSWIJK A\H ORANJEKAN.,NW,7.0,-7.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (259450 530070)
nappeilmerken.8870,017H0228,256040.0,536030.0,22.215,"SCHRAGEFLAT VALTHERZANDWG,ODOORNERWEG",ZW,-391.0,45.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (256040 536030)
nappeilmerken.8871,017H0229,255090.0,533750.0,19.216,BR O/H ORANJEKAN. HEIRWEG,NW,-15.0,-11.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (255090 533750)
nappeilmerken.8872,017H0230,256100.0,529030.0,15.82,Z LHFD BR SPECHTENVELD,NW,-28.0,-9.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (256100 529030)
nappeilmerken.8873,017H0232,253939.0,536080.0,17.582,ZO-PIJLER VAN VIADUCT ORANJE KANAAL,Z,-50.0,18.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (253939 536080)
nappeilmerken.8874,017H0233,254639.0,534680.0,17.882,W-PIJLER ONDER VDC OVER ORANJE KANAAL,NW,0.0,20.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (254639 534680)
nappeilmerken.8875,017H0234,250089.0,527500.0,19.552,OP BET LHFD VDC O N37/ELDK,ZO,60.0,49.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (250089 527500)
nappeilmerken.8876,017H0235,258919.0,527500.0,21.071,O BET BLK VIADCT A37 ERICA,,0.0,0.0,EG,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (258919 527500)
nappeilmerken.8877,017H0237,258710.0,537480.0,23.986,HS,ZW,1.0,1.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (258710 537480)
nappeilmerken.8878,017H0238,255970.0,530340.0,16.864,GAS-GB KRUISING DUIVENVELD-VELDSTUKKEN,W,37.0,5.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (255970 530340)
nappeilmerken.8879,017H0239,255299.0,531160.0,19.935,N LHFD VIADUCT NIEUW AMSTERDAMSESTRAAT,W,60.0,-15.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (255299 531160)
nappeilmerken.8880,017H0240,250570.0,526290.0,13.79,SCH/TRAFO ACHTER DEN HOOL 8,O,-228.0,38.0,GT,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (250570 526290)
nappeilmerken.8881,017H0241,253080.0,536730.0,19.088,UITBOUW BDR KANAALDIJK ZZ 9,NO,10.0,75.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (253080 536730)
nappeilmerken.8882,017H0242,250460.0,532810.0,17.053,TRAFO OP KRUISING BRINK EN SCHAAPSTREEK,W,18.0,32.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (250460 532810)
nappeilmerken.8883,017H0243,255300.0,531160.0,19.932,NW LANDHOOFD VIADUCT NW AMSTERDAMSESTR,W,60.0,-14.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (255300 531160)
nappeilmerken.8884,017H0244,254760.0,530940.0,16.461,TRAFO AAN DE OUDE DELFT,N,31.0,35.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (254760 530940)
nappeilmerken.8885,017H0245,252960.0,530570.0,13.819,MEETSPIJKER IN BVK BETON STUW,N,62.0,0.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (252960 530570)
nappeilmerken.8886,017H0246,255410.0,530200.0,16.605,NW VLEUGELMUUR SPOORTUNNEL,O,-24.0,-10.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (255410 530200)
nappeilmerken.8887,017H0247,255660.0,528140.0,13.442,STUW TEN N VAN TOEGANGSWEG NAAR RWZI,NW,-37.0,-10.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (255660 528140)
nappeilmerken.8888,017H0248,251870.0,529370.0,14.417,BOUT IN ZW HOEK BETONPLAAT RIOOLGEMAAL.,ZW,0.0,0.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (251870 529370)
nappeilmerken.8889,017H0249,251880.0,529970.0,21.161,KOP ZW LANDHOOFD VIADUCT N34,NW,-23.0,-10.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (251880 529970)
nappeilmerken.8890,017H0250,257770.0,529850.0,20.46,WONING ZUIDBARGERSTRAAT 133,ZW,335.0,20.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (257770 529850)
nappeilmerken.8891,017H0251,258819.0,530660.0,23.324,ZO LHFD BARGERBRUG CORNELIS HOUTMANSTR,ZO,-317.0,-10.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (258819 530660)
nappeilmerken.8892,017H0252,258090.0,533320.0,20.518,DRENTHECOLLEGE DORDSESTRAAT,Z,46.0,40.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (258090 533320)
nappeilmerken.8893,017H0253,259130.0,535540.0,27.551,MUUR KRUISING BOSWEG EN RANDWEG.,N,-21.0,25.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (259130 535540)
nappeilmerken.8894,017H0254,258720.0,537480.0,23.984,HS EMMERHOUTSTRAAT 31,ZW,44.0,19.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (258720 537480)
nappeilmerken.8895,017H0256,254920.0,525270.0,14.147,GAR HS ZIJTAK OZ 94A,N,11.0,8.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (254920 525270)
nappeilmerken.8896,018A0005,267680.0,538000.0,15.091,"TOREN RKK MUNSTERSEVELD, HOOFDKN O-Z.",NW,202.0,100.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (267680 538000)
nappeilmerken.8897,018A0006,265260.0,539590.0,14.38,BRWHS O-Z. OUDE SCHUTTINGSKN 76,ZW,51.0,65.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (265260 539590)
nappeilmerken.8898,018A0008,268910.0,539810.0,13.712,SCH O-Z HOOFDKANAAL 149,NW,-690.0,20.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (268910 539810)
nappeilmerken.8899,018A0011,269160.0,541620.0,13.242,"O-HFD BR B/D SL 8E VERLAAT A/D WEG,MUNNEKEMOER-OOST",Z,40.0,-36.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (269160 541620)
nappeilmerken.8900,018A0012,269160.0,541690.0,13.839,SLWHS MUNNEKEMOER-OOST 4,W,-46.0,40.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (269160 541690)
nappeilmerken.8901,018A0016,269100.0,543880.0,11.99,BRWHS B/D BOSBR N-Z RUITEN A KN NOORD 1A,Z,-274.0,45.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (269100 543880)
nappeilmerken.8902,018A0017,269090.0,543080.0,12.174,HS BARNFLAIR-OOST 7,W,-32.0,22.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (269090 543080)
nappeilmerken.8903,018A0021,266920.0,544530.0,12.401,DAGBESTEDINGSCENTRUM VIADUCTWEG 13,W,278.0,65.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266920 544530)
nappeilmerken.8904,018A0022,268200.0,544300.0,11.774,HS N-Z. HOOFDSTRAAT 13,Z,-259.0,56.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (268200 544300)
nappeilmerken.8905,018A0023,268420.0,544300.0,12.001,HS N-Z. HOOFDSTRAAT 2,Z,-60.0,65.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (268420 544300)
nappeilmerken.8906,018A0025,268620.0,544530.0,12.462,HK BOSLAAN 3 TER APEL,W,-132.0,50.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (268620 544530)
nappeilmerken.8907,018A0030,266870.0,546000.0,11.707,BRWHS O-Z. VIADUCTSTRAAT 126,W,34.0,55.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266870 546000)
nappeilmerken.8908,018A0034,266810.0,547490.0,11.596,BDR O-Z. TER APELKANAAL 35,W,-276.0,60.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266810 547490)
nappeilmerken.8909,018A0037,267740.0,548630.0,10.116,HS N-Z. SCHAALBERGERW 22,Z,274.0,75.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (267740 548630)
nappeilmerken.8910,018A0042,266650.0,548960.0,10.449,"SCHUTSL, 6E VERLAAT TER APELKN",Z,-127.0,-32.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266650 548960)
nappeilmerken.8911,018A0045,269500.0,549130.0,9.747,BDR NW-Z. SCHAALBERGERW 4,ZO,-400.0,40.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (269500 549130)
nappeilmerken.8912,018A0047,266869.0,546000.0,11.36,BRUGWACHTERSHS VIADUCTSTRAAT 126,W,25.0,20.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266869 546000)
nappeilmerken.8913,018A0050,264360.0,543800.0,10.789,"'LOKKERSLUIS' KN TER APEL-NW.WEERDINGE,,ZW-LANDHFD",ZW,127.0,-35.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (264360 543800)
nappeilmerken.8914,018A0052,265590.0,544250.0,11.516,"HS WESTERSTR 115, TER APEL",Z,14.0,42.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (265590 544250)
nappeilmerken.8915,018A0053,266100.0,544270.0,11.49,HS WESTERSTRAAT 68 TER APEL,Z,-428.0,23.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266100 544270)
nappeilmerken.8916,018A0054,266740.0,544260.0,11.639,"HS WESTERSTR 9, TER APEL",Z,14.0,36.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266740 544260)
nappeilmerken.8917,018A0068,263350.0,540060.0,13.755,SCH NWE SCHUTTINGSKN OZ 26,W,-635.0,20.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (263350 540060)
nappeilmerken.8918,018A0075,263160.0,544660.0,10.99,HS DRENTSE MONDENWG 2,NW,-42.0,18.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (263160 544660)
nappeilmerken.8919,018A0078,264100.0,547720.0,10.041,"BET. BR KAVELINGEN, NO-LHFD BIJ TRAPJE",ZW,-18.0,-7.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (264100 547720)
nappeilmerken.8920,018A0086,269274.0,540630.0,13.457,HS MUNNEKENMOER OOST 84,W,196.0,20.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (269274 540630)
nappeilmerken.8921,018A0089,266600.0,540400.0,14.269,PK ROSWINKEL 24,ZW,-150.0,38.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266600 540400)
nappeilmerken.8922,018A0092,265340.0,549460.0,9.842,HS A-KADE 27,ZW,310.0,30.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (265340 549460)
nappeilmerken.8923,018A0093,266030.0,549280.0,9.496,HS JIPSINGBOERMUSSEL 33,ZW,-54.0,35.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266030 549280)
nappeilmerken.8924,018A0094,266780.0,548210.0,11.191,HS TER APELKANAAL-OOST 84,W,-43.0,30.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266780 548210)
nappeilmerken.8925,018A0095,266779.0,547050.0,10.8,O-LHFD DRAAIBRUG O/H TER APELKANAAL,O,80.0,-33.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266779 547050)
nappeilmerken.8926,018A0097,268470.0,548660.0,9.21,BDR SCHAALBERGERWG 10,Z,32.0,18.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (268470 548660)
nappeilmerken.8927,018A0098,268970.0,548630.0,9.315,SCH BDR SCHAALBERGERWG 7,N,87.0,15.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (268970 548630)
nappeilmerken.8928,018A0109,268700.0,541690.0,12.711,BDR 'VELDZICHT' MAARTENMOERSLOOT 149,NO,23.0,27.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (268700 541690)
nappeilmerken.8929,018A0111,265120.0,544240.0,11.544,HS WESTERSTR 161,Z,44.0,29.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (265120 544240)
nappeilmerken.8930,018A0118,263950.0,539060.0,13.852,HS NIEUWE SCHUTTINGKN 36,ZW,25.0,24.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (263950 539060)
nappeilmerken.8931,018A0119,267640.0,538660.0,13.503,HS MUNSTERSEWG 13,NO,-21.0,21.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (267640 538660)
nappeilmerken.8932,018A0120,266800.0,539340.0,13.954,BDR 'SCHANSHOEVE' ROSWINKELERSTR 104,NO,21.0,21.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266800 539340)
nappeilmerken.8933,018A0121,266300.0,540150.0,13.261,ROSWINKELERSTR 73,NW,-10.0,2.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266300 540150)
nappeilmerken.8934,018A0122,266170.0,540350.0,13.498,CF ROSWINKELERSTR 66,NO,-23.0,33.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266170 540350)
nappeilmerken.8935,018A0125,260180.0,539280.0,12.155,SCH SIEPELVEENWIJK 22,N,55.0,18.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (260180 539280)
nappeilmerken.8936,018A0127,261300.0,539780.0,13.317,HS 3E KRUISDIEP 25,NO,70.0,55.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (261300 539780)
nappeilmerken.8937,018A0129,263630.0,541030.0,11.842,SL NW-LHFD,NW,145.0,-23.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (263630 541030)
nappeilmerken.8938,018A0131,265390.0,541800.0,11.939,HS ROSWINKELERSTR 193,ZW,-73.0,14.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (265390 541800)
nappeilmerken.8939,018A0133,266700.0,543190.0,12.554,BDR HEERENLANDSEWG 30,NW,36.0,26.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266700 543190)
nappeilmerken.8940,018A0136,263610.0,543900.0,11.113,TRAFO DIKBROEKEN,NO,32.0,34.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (263610 543900)
nappeilmerken.8941,018A0140,262820.0,546410.0,10.286,HS ZUIDERDIEP 459,ZO,43.0,46.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (262820 546410)
nappeilmerken.8942,018A0141,260770.0,544600.0,11.176,BDR ZUIDERDIEP 304,NW,-48.0,59.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (260770 544600)
nappeilmerken.8943,018A0142,261360.0,545190.0,10.604,HS ZUIDERDIEP 341,ZO,39.0,25.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (261360 545190)
nappeilmerken.8944,018A0143,260760.0,546620.0,8.991,Z-FRMR BET.STUW Z-Z DREEF,ZO,19.0,-10.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (260760 546620)
nappeilmerken.8945,018A0145,261870.0,549810.0,9.878,BDR ZUIDERDIEP 349,NW,36.0,36.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (261870 549810)
nappeilmerken.8946,018A0146,260440.0,548880.0,9.918,BDR ZUIDERDIEP 234,ZO,-38.0,22.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (260440 548880)
nappeilmerken.8947,018A0149,268340.0,541420.0,12.697,SCH MOERSLOOT 147,ZW,682.0,35.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (268340 541420)
nappeilmerken.8948,018A0150,267320.0,544300.0,12.142,RKK HOOFDSTR HOEK KAPELWEG,ZO,54.0,42.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (267320 544300)
nappeilmerken.8949,018A0152,264450.0,549360.0,9.264,TRAFO NR-7809 O-ZIJDE KAVELINGEN,ZW,47.0,13.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (264450 549360)
nappeilmerken.8950,018A0153,268020.0,538450.0,13.791,TRAFO NW-ZIJDE CF STADSCOMPASCUUM 105,ZW,167.0,25.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (268020 538450)
nappeilmerken.8951,018A0155,267020.0,542320.0,12.334,BDR ZANDDIJK 41,NO,66.0,25.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (267020 542320)
nappeilmerken.8952,018A0158,260440.0,540840.0,12.479,HS NOORDVEENKN ZZ 1,W,32.0,15.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (260440 540840)
nappeilmerken.8953,018A0159,262650.0,542210.0,13.116,HK WEERDINGERKN ZZ 143,NW,-23.0,90.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (262650 542210)
nappeilmerken.8954,018A0160,265439.0,538130.0,14.824,HS SCHUTTINGSLN WZ 107,O,55.0,85.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (265439 538130)
nappeilmerken.8955,018A0162,262310.0,546000.0,10.368,"TRAFO AAN HET ZUIDERDIEP VALTHERMOND,NAAST HS 426",ZO,-15.0,15.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (262310 546000)
nappeilmerken.8956,018A0163,265580.0,539060.0,14.444,HS OUDE SCHUTTINGSKN 109,ZW,-65.0,12.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (265580 539060)
nappeilmerken.8957,018A0164,263440.0,546920.0,9.591,ZW-MR VAN NW HOOFD SCHUTSL,ZW,-90.0,-14.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (263440 546920)
nappeilmerken.8958,018A0165,263340.0,542760.0,12.067,HS WEEDINGERKN 203,ZO,11.0,16.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (263340 542760)
nappeilmerken.8959,018A0166,266340.0,541840.0,12.426,HS ZANDDK 24,NW,42.0,15.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266340 541840)
nappeilmerken.8960,018A0173,260549.0,548410.0,8.457,"BRONZEN KERNNETBT I/D BOVENKANT V/D DR,TWEEDE EXLOERMOND =RD 189322-13",,0.0,0.0,EG,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (260549 548410)
nappeilmerken.8961,018A0174,260551.0,548410.0,7.955,W DR V/D STUW TWEEDE EXLOERMOND,W,-9.0,-5.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (260551 548410)
nappeilmerken.8962,018A0175,265220.0,538190.0,13.31,"RD STEEN, 11.10 N NW UIT NO VERLENGDE,STUW A/D SCHUTTINGSLN RD=189324-14",,0.0,0.0,EG,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (265220 538190)
nappeilmerken.8963,018A0177,260550.0,548410.0,8.404,KEERMR V/D STUW TWEEDE EXLOERMOND,Z,-12.0,-10.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (260550 548410)
nappeilmerken.8964,018A0178,266859.0,545360.0,11.533,HS VIADUCTWEG 79,W,-220.0,10.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (266859 545360)
nappeilmerken.8965,018A0179,261060.0,549320.0,9.645,SCH NAAST ZUIDERDIEP 286,NW,140.0,35.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (261060 549320)
nappeilmerken.8966,018A0180,260050.0,544350.0,10.757,"WNKL ''SPAR'' KRUISING NO-Z,NOORDERDIEP, VRIJHEIDSLN",NW,-28.0,20.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (260050 544350)
nappeilmerken.8967,018A0181,267100.0,542880.0,10.979,DR ZW-Z N366 ZO-Z ROSWINKELER MARKE,ZW,90.0,-10.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (267100 542880)
nappeilmerken.8968,018A0183,269140.0,542090.0,12.235,VOETBR O-Z TER APELKAN. BARNFLAIR OOST.,W,-21.0,-9.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (269140 542090)
nappeilmerken.8969,018A0184,268340.0,538990.0,13.448,"ZO-Z BR STADSCOMPASCUUMKAN.,HOOFDKANAAL O-Z.",ZW,-38.0,-17.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (268340 538990)
nappeilmerken.8970,018A0185,264360.0,538070.0,12.175,"BOVENIN DR IN SLOOT Z V NAM-TERREIN,'ROSWINKEL 4'.",,0.0,0.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (264360 538070)
nappeilmerken.8971,018A0186,269089.0,543080.0,12.815,HS BARNFLAIR-OOST 9,W,-20.0,84.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (269089 543080)
nappeilmerken.8972,018A0187,267539.0,537780.0,13.417,TRAFO KALKOVENWIJK WZ 1,ZO,-33.0,20.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (267539 537780)
nappeilmerken.8973,018A0188,264450.0,541180.0,12.631,HS. LAGEWIJK NZ 33,N,-22.0,3.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (264450 541180)
nappeilmerken.8974,018A0189,265950.0,540810.0,13.384,CF. ROSWINKELERSTRAAT 153,Z,-30.0,40.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (265950 540810)
nappeilmerken.8975,018A0190,268460.0,539170.0,13.795,TRAFO HOOFDKANAAL OZ,W,51.0,65.0,PM,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (268460 539170)
nappeilmerken.8976,018A0191,267520.0,540910.0,11.994,"SCHROEFANKER ZZ KRUISING PASTORIEWEG-,NOORDELIJKE VENEN",BV,0.0,0.0,SA,Sat Apr 17 00:00:00 CEST 2010,2.0,POINT (267520 540910)
nappeilmerken.8977,018A0192,267540.0,537780.0,13.413,TRAFO KALKOVENWIJK WZ 1,NO,-33.0,25.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (267540 537780)
nappeilmerken.8978,018A0193,264050.0,538790.0,13.768,BT IN SOKKEL POMPKAST RIOOL,ZO,-8.0,8.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (264050 538790)
nappeilmerken.8979,018A0194,263300.0,539950.0,13.686,SCH TO NW SCHUTTINGKANAAL 26,O,30.0,44.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (263300 539950)
nappeilmerken.8980,018A0195,263200.0,541670.0,12.539,1E KRUISDIEP WZ 98,NO,-33.0,14.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (263200 541670)
nappeilmerken.8981,018A0196,264130.0,543500.0,12.066,ZO LANDHOOFD ROSWINKELERBRUG,ZW,-18.0,-8.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (264130 543500)
nappeilmerken.8982,018A0197,265600.0,541390.0,11.923,TRAFO NAAST ROSWINKELERSTRAAT 13,NO,8.0,30.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (265600 541390)
nappeilmerken.8983,018A0198,264200.0,548390.0,9.441,NO LHFD BRUG KAVELINGEN 37,N,7.0,-9.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (264200 548390)
nappeilmerken.8984,018A0199,262219.0,540340.0,12.848,SIEPELVEENWIJK 144,NW,131.0,19.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (262219 540340)
nappeilmerken.8985,018B0005,271620.0,546800.0,10.181,SCH BDR VEENW 27,ZO,-352.0,42.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (271620 546800)
nappeilmerken.8986,018B0007,271840.0,547890.0,10.077,BDR VEENW 15,W,-44.0,60.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (271840 547890)
nappeilmerken.8987,018B0013,270220.0,544660.0,11.445,SLWHS POORTW 11,O,280.0,40.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (270220 544660)
nappeilmerken.8988,018B0018,270880.0,548360.0,10.145,BDR RUITEN A KANAAL OOST 5,W,-42.0,55.0,PM,Sun Mar 28 00:00:00 CET 2021,2.0,POINT (270880 548360)
nappeilmerken.8989,018B0021,271170.0,546430.0,9.802,BDR VEENWG 35,NW,-75.0,14.0,PM,Tue Apr 29 00:00:00 CEST 2014,2.0,POINT (271170 546430)
